UBICACION: M13 LAB2,,"VOLVER A
PRINCIPAL"
Descripción,Stock Actual,Responsable
"CPU Intel I3 - 3250 - 4 GB RAM + Monitor Led 18,5""+ multimedia + disco 500GB+
 Grabadora DVD + teclado + mouse",,
Impresora Laser Samsung M2020,,0
